index,json_file,infer_start,infer_end,infer_seconds,infer_returncode,infer_status,infer_ckpt,infer_csv_in,infer_csv_out
1,online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK.json,2025-08-22T18:12:49+08:00,2025-08-22T18:13:03+08:00,13.806,1,failed,models/best_model_1.pth,Infer_images/online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK/infer.csv,
1,online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK.json,2025-08-22T18:28:37+08:00,2025-08-22T18:36:57+08:00,500.265,0,success,models/best_model_1.pth,Infer_images/online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK/infer.csv,predictions/online_exam1_11127231_user_2x1eNMA2ywMBAa7iN5XuKH8wXPK_pred.csv
2,online_exam1_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u.json,2025-08-22T18:36:57+08:00,2025-08-22T18:46:50+08:00,592.896,0,success,models/best_model_2.pth,Infer_images/online_exam1_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u/infer.csv,predictions/online_exam1_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u_pred.csv
3,online_exam1_11227218_user_2wLdBAPqVQJuFroDWby3mrZZpTH.json,2025-08-22T18:46:50+08:00,2025-08-22T18:56:36+08:00,586.070,0,success,models/best_model_3.pth,Infer_images/online_exam1_11227218_user_2wLdBAPqVQJuFroDWby3mrZZpTH/infer.csv,predictions/online_exam1_11227218_user_2wLdBAPqVQJuFroDWby3mrZZpTH_pred.csv
4,online_exam2_11027132_user_2wNqlMx9sSQJvK9yP7IzqFVaHKd.json,2025-08-22T18:56:36+08:00,2025-08-22T19:06:25+08:00,589.293,0,success,models/best_model_4.pth,Infer_images/online_exam2_11027132_user_2wNqlMx9sSQJvK9yP7IzqFVaHKd/infer.csv,predictions/online_exam2_11027132_user_2wNqlMx9sSQJvK9yP7IzqFVaHKd_pred.csv
5,online_exam2_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR.json,2025-08-22T19:06:25+08:00,2025-08-22T19:16:00+08:00,574.267,0,success,models/best_model_5.pth,Infer_images/online_exam2_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR/infer.csv,predictions/online_exam2_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR_pred.csv
6,online_exam2_11227151_user_2wNrt7AJhsR854YlJ52LIxOohc4.json,2025-08-22T19:16:00+08:00,2025-08-22T19:19:19+08:00,199.133,0,success,models/best_model_6.pth,Infer_images/online_exam2_11227151_user_2wNrt7AJhsR854YlJ52LIxOohc4/infer.csv,predictions/online_exam2_11227151_user_2wNrt7AJhsR854YlJ52LIxOohc4_pred.csv
7,online_exam2_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u.json,2025-08-22T19:19:19+08:00,2025-08-22T19:31:00+08:00,701.363,0,success,models/best_model_7.pth,Infer_images/online_exam2_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u/infer.csv,predictions/online_exam2_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u_pred.csv
8,online_exam2_11227240_user_2wOCPJUZLfX1YpEOQMYpXufo0z3.json,2025-08-22T19:31:00+08:00,2025-08-22T19:40:41+08:00,580.670,0,success,models/best_model_8.pth,Infer_images/online_exam2_11227240_user_2wOCPJUZLfX1YpEOQMYpXufo0z3/infer.csv,predictions/online_exam2_11227240_user_2wOCPJUZLfX1YpEOQMYpXufo0z3_pred.csv
9,online_exam2_11227249_user_2wOCg2IRON9jxgk4cZcTVJ2hQpw.json,2025-08-22T19:40:41+08:00,2025-08-22T19:44:00+08:00,198.865,0,success,models/best_model_9.pth,Infer_images/online_exam2_11227249_user_2wOCg2IRON9jxgk4cZcTVJ2hQpw/infer.csv,predictions/online_exam2_11227249_user_2wOCg2IRON9jxgk4cZcTVJ2hQpw_pred.csv
10,online_exam2_11227253_user_2wOGDRY5OdrmN5IMeehgEaavp76.json,2025-08-22T19:44:00+08:00,2025-08-22T19:51:27+08:00,446.958,0,success,models/best_model_10.pth,Infer_images/online_exam2_11227253_user_2wOGDRY5OdrmN5IMeehgEaavp76/infer.csv,predictions/online_exam2_11227253_user_2wOGDRY5OdrmN5IMeehgEaavp76_pred.csv
11,online_exam3_11120125_user_2x1eJTEUaPWEQdzKxL3QmNyQl2y.json,2025-08-22T19:51:27+08:00,2025-08-22T20:00:46+08:00,559.108,0,success,models/best_model_11.pth,Infer_images/online_exam3_11120125_user_2x1eJTEUaPWEQdzKxL3QmNyQl2y/infer.csv,predictions/online_exam3_11120125_user_2x1eJTEUaPWEQdzKxL3QmNyQl2y_pred.csv
12,online_exam3_11124107_user_2wNqgnqMwUS48l5xie63msBUq6y.json,2025-08-22T20:00:46+08:00,2025-08-22T20:07:27+08:00,401.570,0,success,models/best_model_12.pth,Infer_images/online_exam3_11124107_user_2wNqgnqMwUS48l5xie63msBUq6y/infer.csv,predictions/online_exam3_11124107_user_2wNqgnqMwUS48l5xie63msBUq6y_pred.csv
13,online_exam3_11227132_user_2wNuJlqfKxrPEfinDtKY1saJzAJ.json,2025-08-22T20:07:27+08:00,2025-08-22T20:15:19+08:00,471.638,0,success,models/best_model_13.pth,Infer_images/online_exam3_11227132_user_2wNuJlqfKxrPEfinDtKY1saJzAJ/infer.csv,predictions/online_exam3_11227132_user_2wNuJlqfKxrPEfinDtKY1saJzAJ_pred.csv
14,online_exam4_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR.json,2025-08-22T20:15:19+08:00,2025-08-22T20:26:39+08:00,679.920,0,success,models/best_model_14.pth,Infer_images/online_exam4_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR/infer.csv,predictions/online_exam4_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR_pred.csv
15,online_exam5_11027261_user_2wOEHNkaoNPdXNbHKmgezQWhkKT.json,2025-08-22T20:26:39+08:00,2025-08-22T20:32:51+08:00,372.615,0,success,models/best_model_15.pth,Infer_images/online_exam5_11027261_user_2wOEHNkaoNPdXNbHKmgezQWhkKT/infer.csv,predictions/online_exam5_11027261_user_2wOEHNkaoNPdXNbHKmgezQWhkKT_pred.csv
16,online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT.json,2025-08-22T20:32:51+08:00,2025-08-22T20:39:40+08:00,408.205,0,success,models/best_model_16.pth,Infer_images/online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT/infer.csv,predictions/online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT_pred.csv
17,online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku.json,2025-08-22T20:39:40+08:00,2025-08-22T20:44:53+08:00,313.473,0,success,models/best_model_17.pth,Infer_images/online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku/infer.csv,predictions/online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku_pred.csv
